EDAD,GASTOFI_TOTAL,test
8023,39,40,87
8028,28,70,68
8039,45,87,84
8053,57,267,96
8076,58,217,05
8079,27,78,87
8102,64,141,07
8104,62,311,94
8121,51,82,72
8124,75,410,72
8132,39,118,92
8139,50,88,39
8154,23,296,89
8172,46,105,11
8184,72,350,94
8197,74,554,47
8201,40,54,47
8205,38,418,54
8215,62,291,26
8220,31,193,77
8228,49,398,5
8231,47,38,59
8233,62,410,38
8238,23,163,46
8245,31,48,38
8247,21,38,79
8260,27,170,18
8269,35,1794,41
8272,35,173,91
8282,29,166,96
8284,31,242,55
8286,58,61,03
8293,45,267,16
8294,45,251,95
8299,43,72,56
8319,20,533,1
8320,80,1762,81
8325,74,116,73
8334,55,343,92
8341,51,41,44
8345,83,23,53
8351,45,45,67
8354,50,264,15
8361,76,404,27
8365,18,83,14
8378,32,219,19
8380,34,31,09
8383,20,73,06
8384,42,65,63
8389,33,272,1
8395,31,56,31
8398,70,80,93
8403,32,57,14
8405,34,72,34
8407,26,297,95
8410,61,81,95
8419,33,33,13
8422,38,351,59
8428,68,74,36
8446,61,108,99
8450,15,25,02
8453,58,58,14
8456,71,46,99
8460,55,77,74
8463,29,172,34
8465,45,183,7
8467,73,99,59
8468,17,26,18
8473,41,114,52
8494,38,440,34
8499,64,275,23
8504,38,626,95
8506,58,65,65
8508,21,1191,67
8515,18,65,18
8518,40,50,17
8526,47,288,04
8532,50,111,08
8541,50,201,24
8547,78,30,86
8560,29,62,95
8562,38,134,62
8565,54,131,95
8570,43,2303,15
8572,32,114,56
8578,41,393,87
8587,41,196,58
8592,54,282,75
8596,21,341,13
8600,56,28,38
8611,44,516,25
8612,40,140,65
8627,33,55,49
8630,28,33,66
8645,32,455,04
8652,45,240,74
8662,29,273,83
8665,25,93,59
8673,49,78,3
8686,40,217,02
8689,48,193,2
8694,49,329,21
8707,73,129,75
8708,61,887
8709,36,153,55
8712,36,50,94
8713,56,101,66
8714,42,225,82
8715,46,55,57
8716,29,30,82
8737,56,326,8
8739,54,1632,75
8753,70,30,09
8761,34,209,61
8762,23,172,46
8783,17,94,94
8816,42,130,96
8818,16,62,6
8822,47,152,74
8823,36,156,43
8824,40,39,21
8829,50,35,58
8830,22,104,75
8838,67,181,12
8846,36,94,48
8865,37,40,12
8874,42,55
8879,69,200,1
8880,54,108,71
8883,43,277,81
8896,50,391,2
8898,37,25,83
8913,26,80,37
8925,44,325,05
8928,66,128,1
8929,48,49,98
8939,59,365,58
8944,33,137,17
8966,60,104,87
8967,42,58,24
8972,44,217,94
8974,42,363,92
8983,30,250,32
8987,50,41,61
8991,41,172,07
9013,47,67,71
9019,37,91,46
9023,38,387,55
9024,54,121,35
9030,39,136,66
9031,68,316,64
9040,29,215,53
9047,52,44,58
9053,58,212,02
9054,42,833,84
9055,40,233,89
9089,69,331,51
9105,18,43,73
9117,35,71,7
9122,45,53,14
9127,17,33,7
9132,48,314,26
9133,58,1044,5
9135,36,42,23
9136,45,36,76
9139,39,63,03
9148,54,201,95
9157,47,55,18
9164,85,84,2
9166,52,190,51
9175,20,392,74
9178,68,32,08
9185,41,15,94
9189,35,65,13
9197,37,101,09
9198,48,28,43
9207,27,179,86
9214,50,58,07
9217,66,199,65
9222,63,54,12
9233,54,94,36
9238,71,409,52
9242,29,267,59
9248,21,95,54
9249,81,177,32
9254,29,143,06
9256,68,247,39
9269,65,42,56
9278,32,139,22
9280,35,324,06
9303,33,90,69
9305,41,44,72
9314,71,110,74
9318,39,59,44
9320,38,70,41
9322,50,172,87
9329,45,171,28
9331,43,41,8
9333,50,136,33
9337,85,70,2
